artist_id,state,country
ARMQHX71187B9890D3,Georgia,United States
ARSGZ3J1187FB3E610,California,United States
ARCZC791187B991DF4,California,United States
ARQ6JKR1187B99CC19,,Poland
ARE4SDM1187FB4D7E4,,Canada
ARZ5CKV1187B9AE71A,,England
AR0X3JJ1187FB3A9A7,Florida,United States
ARJEAL11187B9A876B,,Jamaica
AR470HW1187FB3B8DF,California,United States
ARFVYJI1187B9B8E13,Washington,United States
AR358YS1187FB44A29,Missouri,United States
ARW63XP1187FB5AB99,,Scotland
ARX08ZS1187B9A814B,Alabama,United States
ARANOZN1187B9B373E,California,United States
ARBBHWW1187B9B312A,New York,United States
ARSCJEI1187FB5C65A,California,United States
ARBM4TC1187FB5CE98,California,United States
ARNO7EI1187B9A1477,Oregon,United States
AR3BLZV1187B99265D,Michigan,United States
ARZN98V1187B990D1D,,Sweden
ARQOCBW1187B9AA143,California,United States
AR0OEYB1187FB4A81E,,England
ARKI18W1187FB59D6D,Pennsylvania,United States
ARHHYQ81187B9A1C14,New York,United States
ARWDPT81187B99C656,,United Kingdom
ARE5F2F1187B9AB7E9,Tennessee,United States
ARG63P01187B9AD315,New York,United States
ARANLBO1187FB3E121,New York,United States
ARXSPYZ1187B98972A,Oklahoma,United States
AR6G3T11187FB4377A,Pennsylvania,United States
AR7UYEE1187FB3E336,,Scotland
AR42MHZ1187FB39CAC,Texas,United States
ARMKPQP1187FB3F521,Louisiana,United States
AR8KJG41187B9AF8EC,New York,United States
ARJRB241187FB556A3,,United Kingdom
ARDAV6Z1187FB5A1D6,Arkansas,United States
ARBW1J61187B9B8B54,,Mexico
ARNILB71187B99EC88,California,United States
AR6O7DD1187B989B72,,Mexico
AR06XSY1187B9B279E,,Australia
ARPXABO1187FB4D15F,New York,United States
ARWK6U21187B9B03A5,,Italy
AR3DXTG1187FB38776,,England
ARTDQRC1187FB4EFD4,California,United States
AR54HMH1187FB4958C,Texas,United States
AR1F6T91187FB4D5FE,,England
